,ts,target
99,"[-1.88061712e-22  2.10733452e-23 -2.51105814e-22 ... -3.63226253e-22
  2.93993536e-22  2.49318596e-23]",1
100,"[ 3.06278086e-22  2.68066961e-22 -2.41531534e-22 ...  2.62245339e-22
 -5.23236479e-22  4.94367942e-22]",1
101,"[-2.18480918e-22 -5.07129731e-23 -1.28585208e-22 ...  1.30278560e-23
 -7.52448786e-23  1.81622805e-22]",1
102,"[-1.52651850e-22 -5.43501160e-23  3.86678015e-24 ... -1.86104723e-22
  1.89373410e-22 -3.66841650e-22]",1
103,"[-2.51067126e-22  2.46350441e-22 -3.23134515e-22 ...  2.04707571e-22
 -5.94054428e-22  6.59333389e-23]",0
104,"[ 2.97718550e-22 -2.69207286e-22  1.65431084e-22 ...  4.53085529e-23
  1.14884411e-23  2.88862181e-22]",0
105,"[-9.57047955e-23 -6.54356430e-23 -7.83557455e-23 ... -7.61082824e-23
  5.27236732e-23 -5.38745983e-24]",1
106,"[ 2.58367369e-22 -2.28703914e-22  1.40132473e-23 ...  1.26186364e-25
  1.33651057e-22  1.00301645e-22]",1
107,"[-3.61751747e-22  9.50109662e-23 -5.53983148e-23 ...  2.59758914e-22
 -3.33413690e-22  1.23756935e-22]",1
108,"[ 4.39822221e-23  2.22290043e-23  2.85697564e-23 ... -3.04951990e-24
  1.84967248e-22 -2.19693438e-22]",1
109,"[ 2.38154624e-22  2.49193481e-22 -3.26919713e-22 ... -2.15904301e-22
  5.07397128e-22 -8.70414233e-23]",1
110,"[-3.66877788e-22  5.34388104e-22 -1.65941851e-22 ... -4.32470602e-22
  1.90432063e-22 -1.42237732e-22]",0
111,"[-3.88648066e-22  5.26524145e-22 -3.11923203e-22 ... -2.27256536e-22
  9.21052952e-23  1.33339627e-22]",0
112,"[-1.73981795e-22  1.42322599e-22 -2.02652563e-22 ... -1.11041522e-22
 -2.34053425e-22 -9.10698880e-23]",1
113,"[-4.15461641e-22 -5.85328054e-23  2.63638483e-23 ...  9.63783018e-23
 -6.46040107e-23 -4.11180066e-22]",1
114,"[-3.97732461e-22 -1.58021559e-23 -2.43968383e-22 ...  2.80270944e-22
 -3.40413127e-23 -2.54724943e-22]",1
115,"[-1.07323132e-22 -1.38229024e-22  2.85636339e-22 ...  1.15427650e-22
 -1.06496059e-22  1.11793215e-22]",1
116,"[ 4.51509260e-22 -2.26118404e-22 -3.24679290e-22 ...  9.63578781e-23
  2.30981652e-22 -1.64825306e-22]",1
117,"[-4.55862942e-22  2.22917967e-22  4.68588855e-23 ...  1.31324069e-22
  1.65230648e-22  4.58259892e-22]",0
118,"[-1.00546824e-22  4.52229288e-22 -1.50536855e-22 ... -2.68261224e-22
 -9.26641421e-23  1.81294039e-22]",0
119,"[ 2.95191752e-23 -2.05717268e-23  9.57455442e-23 ...  1.74197337e-23
  5.77884999e-23 -9.13169195e-23]",1
120,"[ 6.86861926e-23  7.38510149e-23 -2.18099703e-22 ... -1.98086700e-22
  2.97755551e-22 -1.76936963e-25]",1
121,"[ 1.33571075e-22  3.46983951e-22 -2.74901334e-22 ...  1.60239520e-22
 -2.24905669e-22  3.22401937e-22]",1
122,"[-1.52035124e-22  9.37946160e-23 -1.01179380e-23 ... -8.60523513e-23
  2.96062471e-23  1.19638680e-23]",1
123,"[-3.28195574e-22  5.18223181e-23 -2.92022791e-23 ... -1.05163245e-22
  3.37515019e-23 -1.18051449e-22]",1
124,"[ 3.14110728e-23  2.58216775e-23  9.35896721e-23 ... -1.73854280e-22
  5.41470628e-23 -3.29585255e-24]",0
125,"[-6.98016160e-23  1.27118711e-22 -1.36155357e-22 ...  1.43718654e-22
 -1.08414510e-22 -4.55183101e-23]",0
126,"[-9.25503626e-23 -4.93141951e-23 -2.25713171e-22 ... -3.89625229e-22
  1.75010097e-22 -1.30459094e-22]",1
127,"[-8.03647225e-23  1.91284461e-22 -8.68162006e-23 ... -9.93952891e-23
  8.23634760e-23  2.10469922e-23]",1
128,"[-1.05073128e-22  5.74120867e-23 -2.86200288e-22 ...  3.02836804e-22
 -6.23071073e-23  1.64934032e-23]",1
129,"[-1.07851771e-22  2.10629589e-22 -3.08327652e-22 ...  1.38768689e-23
  5.67376695e-23 -4.92802096e-23]",1
130,"[-4.03269904e-22 -3.06718967e-22 -8.48540983e-23 ...  2.21763336e-22
 -4.06616300e-22  6.48189029e-22]",1
131,"[-9.25578142e-23 -7.54410131e-23  6.82536730e-23 ... -2.76679407e-23
 -2.15168445e-22 -1.43401074e-23]",0
132,"[ 4.40030788e-22 -4.67210555e-22 -1.27576624e-22 ... -1.43302203e-22
  1.16877540e-22  2.46551461e-22]",0
133,"[-9.61522667e-23  4.58712309e-23 -2.64599981e-22 ...  1.43552638e-22
 -7.50033073e-23  2.73243106e-22]",1
134,"[-8.28758413e-23  8.06923546e-23  2.45742096e-23 ...  6.97603911e-23
 -1.94541414e-22  4.84796427e-23]",1
135,"[-3.43667085e-24  8.59482013e-23  7.00547140e-23 ... -1.12335939e-22
 -1.20922762e-22 -1.55877782e-22]",1
136,"[-1.71897136e-22  2.68247013e-22 -4.14856678e-23 ... -4.03892392e-23
 -1.19716269e-22  2.57895645e-22]",1
137,"[ 1.43488588e-22  1.68645088e-22 -1.96903122e-22 ... -6.22785454e-23
  1.17816813e-22  2.13131332e-22]",1
138,"[-1.92176336e-24  9.02135675e-23  4.75520797e-23 ...  1.98849394e-22
 -1.36377149e-22 -3.37418997e-24]",0
139,"[ 3.20111123e-22 -3.27871522e-22  3.67023044e-22 ...  2.41779529e-22
 -4.59408947e-23  1.03555528e-22]",0
140,"[-6.97735648e-23 -9.62860690e-23  5.70260499e-23 ... -2.68836095e-22
 -2.61170006e-22  2.54849466e-22]",1
141,"[-1.93738789e-22  1.83311516e-22  5.54640322e-23 ...  5.32642510e-23
 -6.94045629e-23  1.04387458e-22]",1
142,"[ 1.74770276e-24 -1.38536324e-22 -5.92635690e-23 ...  1.34282033e-23
  1.79977889e-22  8.96302072e-23]",1
143,"[ 1.89059477e-24 -1.61894061e-23 -1.53621636e-22 ... -4.39159111e-24
  1.08098584e-22  1.68952624e-23]",1
144,"[-1.64556326e-22  7.33727776e-23 -9.22828262e-23 ...  1.21775676e-23
 -2.47665252e-23 -2.28594631e-23]",1
145,"[-1.62642968e-22 -8.00924932e-24 -9.69564863e-23 ...  1.32331034e-23
  1.99620036e-23  9.66028669e-23]",0
146,"[-5.68322693e-23  7.10421672e-23 -1.59432309e-22 ...  5.41268708e-23
 -2.89127710e-22  5.22933366e-23]",0
147,"[-8.13343160e-26  2.01865356e-22 -2.40513451e-22 ...  5.66591139e-23
 -4.84039149e-23 -1.17922250e-22]",1
148,"[ 4.02615647e-22 -3.29780060e-22  3.13543416e-22 ... -1.50370502e-22
  3.39072354e-22 -2.03421472e-22]",1
149,"[-3.46917401e-23 -4.03372392e-23  3.33704303e-23 ... -2.16103310e-22
 -3.09174834e-23  6.40744561e-23]",1
150,"[ 1.04140929e-22 -1.82206492e-22  1.02963577e-22 ...  1.69057353e-22
 -4.79043865e-22  1.43042399e-22]",1
151,"[ 2.43725476e-22 -1.47675839e-22  3.31314603e-22 ... -1.18810213e-22
  1.25178699e-22 -4.95091697e-23]",1
152,"[-1.71209752e-22  3.14094774e-22 -3.42833832e-22 ...  8.38203694e-23
  4.18224937e-22  2.90651780e-22]",0
153,"[ 5.08908143e-22 -3.46870073e-22  4.27233025e-22 ... -2.85748551e-22
  4.13537376e-23  4.75290824e-22]",0
154,"[ 1.21344396e-22 -9.88165952e-24  1.23620449e-22 ... -3.02405155e-23
 -6.96130216e-23  8.29220899e-23]",1
155,"[-7.09967828e-23 -1.34337980e-22 -6.83501953e-23 ...  4.42109710e-22
 -1.98676084e-22  6.93986986e-24]",1
156,"[-5.24689601e-22 -1.90419294e-22  2.87858276e-23 ...  1.25793337e-22
 -4.77947208e-23  4.07837688e-22]",1
157,"[-1.29662694e-23 -1.72145413e-22  2.00940910e-22 ...  1.00185946e-22
  2.30959267e-22 -9.25022058e-23]",1
158,"[ 7.33754432e-22 -3.92571274e-22 -7.03236618e-23 ...  1.82843202e-22
 -1.93523260e-23  8.77957333e-22]",1
159,"[ 1.01888444e-22  2.33523913e-22 -1.83399475e-22 ...  1.51060033e-22
 -3.39320372e-22  5.46202444e-22]",0
160,"[-8.49416388e-23  1.02572659e-22 -2.37053388e-22 ...  2.68167305e-22
 -7.77209155e-24 -6.68022568e-23]",0
161,"[ 3.13460055e-22 -8.52392796e-23  5.85639912e-22 ... -1.30384705e-22
 -1.08598295e-22 -3.09776125e-22]",1
162,"[-2.74626636e-22  3.02896342e-22 -4.83345449e-22 ... -3.07945969e-23
 -2.44570821e-22  4.15748640e-23]",1
163,"[ 3.85266461e-23  1.96675570e-23 -5.55657278e-23 ... -3.34647616e-23
  8.42598846e-23 -6.35611093e-23]",1
164,"[-7.31114218e-23  2.04428507e-23 -2.84075905e-22 ...  3.90282438e-22
 -1.21810980e-22  2.29030648e-22]",1
165,"[-1.14607222e-22  5.81534756e-23  1.50257039e-22 ...  3.75125240e-23
 -1.32573191e-22  1.46526777e-22]",1
